name,location,price,capacity,rating,reviews,description
Atlanta Botanical Garden,"Atlanta, GA",$$$,151-200 Guests,4.7,21,"The Atlanta Botanical Garden is a versatile indoor/outdoor wedding venue in Atlanta, GA, offering lush lawns and tropical foliage."
Monday Night Brewing: The Garage,Metro Atlanta,$$,300+ Guests,4.9,14,Monday Night Garage is one of Atlanta’s most charming private event spaces with high ceilings and ample natural light.
Park Tavern: The Piedmont Room & Piedmont Garden Tent,Georgia,$$,251-300 Guests,4.7,132,"Located overlooking Piedmont Park, the venues celebrate city skylines tucked among trees and seasonal colors."
Journeyman's Hall,"Atlanta, GA",$$,151-200 Guests,5,3,"Journeyman's Hall is a wedding venue in South Downtown Atlanta, led by Chef Vincent Marra."
Factory Atlanta,"Atlanta, GA",$$$,300+ Guests,5,6,Factory Atlanta is a versatile wedding venue perfect for couples who love to get creative.
Grana,"Atlanta, GA",$$,151-200 Guests,5,1,Grana offers authentic Southern Italian cuisine in a warm and inviting setting for wedding receptions.
FORTH Hotel Atlanta,Georgia,$$$$,201-250 Guests,0,0,FORTH Hotel Atlanta is a deluxe wedding venue boasting an elegant ballroom and state-of-the-art facilities.
Hyatt Regency Atlanta Perimeter at Villa Christina,"Atlanta, GA",$$$,300+ Guests,4.6,63,"Villa Christina at Hyatt Regency is surrounded by 83 acres of landscaped gardens, offering captivating views."
Ambient + Studio,"Atlanta, GA",$$,251-300 Guests,4.4,9,"Ambient + Studio is a unique wedding venue built in 1910, offering a historic charm."
Wahoo! Grill,"Decatur, GA",$$,201-250 Guests,5,100,"Wahoo! Grill provides a full-service experience for weddings, receptions, and rehearsal dinners."
The Kimpton Shane,"Atlanta, GA",$$$,51-100 Guests,0,0,The Kimpton Shane is a boutique hotel venue specializing in weddings and events.
Ecco Buckhead,"Atlanta, GA",$$$,300+ Guests,0,0,Ecco Buckhead is an enchanting restaurant wedding venue located in the vibrant Buckhead neighborhood.
The White Bull,"Decatur, GA",$$,51-100 Guests,0,0,The White Bull specializes in Italian farm-to-table cuisine in a restaurant wedding venue.
Emory Conference Center Hotel,"Atlanta, GA",$$,300+ Guests,4.8,41,Emory Conference Center Hotel offers elegance and unique surroundings in a convenient location.
Historic DeKalb Courthouse,"Decatur, GA",$$,101-150 Guests,4.9,85,The Historic DeKalb Courthouse features an elegant courtroom clad in white marble.
The Wimbish House,"Atlanta, GA",$$,201-250 Guests,4.9,85,The Wimbish House is a Victorian-era home known as ‘The Light on Peachtree’ for weddings and events.
Renaissance Atlanta Midtown Hotel,Midtown Atlanta,$$$,300+ Guests,5,2,Renaissance Atlanta Midtown Hotel is located in the heart of the arts and music district.
SCAD Ivy Hall,Georgia,$$,101-150 Guests,4.5,4,SCAD Ivy Hall is a historic wedding venue originally constructed in 1883.
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA",$$$$,51-100 Guests,5,8,Waldorf Astoria Atlanta Buckhead offers unforgettable luxury and Southern charm.
Intercontinental Buckhead Atlanta,"Atlanta, GA",$$$,300+ Guests,5,9,InterContinental Buckhead Atlanta combines classic charm with modern luxury.
Wrecking Bar Brewpub,"Atlanta, GA",$$,201-250 Guests,5,6,The Marianna at Wrecking Bar Brewpub is a historic mansion wedding venue.
42West Entertainment Group,"Atlanta, GA",$$$,251-300 Guests,5,2,42West Entertainment Group offers a blend of industrial modernity and refined elegance.
Hotel Colee,"Atlanta, GA",$$$,251-300 Guests,0,0,Hotel Colee is recognized as one of the best hotels in the South.
The Westside Warehouse,"Atlanta, GA",$$,201-250 Guests,5,37,The Westside Warehouse is located in Atlanta’s west-midtown creative district.
Omni Atlanta Hotel at Centennial Park,"Atlanta, GA",$$$,300+ Guests,1,1,Omni Atlanta Hotel at CNN Center is perfect for weddings with banquet and catering services.
Kimpton Sylvan Hotel,"Atlanta, GA",$$$,101-150 Guests,4.2,41,The Kimpton Sylvan Hotel is a boutique wedding venue in the heart of Buckhead.
THE TROLLEY BARN,"Atlanta, GA",$$,201-250 Guests,5,4,This 1889 structure features hardwood floors and a garden area off the main hall.
Grand Hyatt Atlanta in Buckhead,"Atlanta, GA",$$$,300+ Guests,5,2,Grand Hyatt Atlanta offers an urban retreat with exceptional service.
Renaissance Concourse Atlanta Airport Hotel,"Atlanta, GA",$$$,300+ Guests,0,0,Renaissance Concourse Atlanta Airport Hotel combines luxury and convenience.
Swan Coach House,"Atlanta, GA",$$,101-150 Guests,5,4,Swan Coach House is a historic space originally part of Atlanta’s famed Inman family estate.
Epicurean Hotel Atlanta,"Atlanta, GA",$$$,101-150 Guests,5,3,Epicurean Hotel Atlanta is a luxe and lavish wedding venue inspired by the sleek aesthetics of today's architecture.
Callanwolde Fine Arts Center,"Atlanta, GA",$$$,151-200 Guests,4.6,38,Callanwolde Fine Arts Center is a unique wedding venue with a century-long legacy in Atlanta's Druid Hills neighborhood.
Enon Ranch,"Atlanta, GA",$$,251-300 Guests,5,2,"Enon Ranch is a beautiful rustic event space that aims to create a space for love, celebration, and cherished moments."
Pristine Chapel Lakeside,"Jonesboro, GA",$$,251-300 Guests,4.8,103,Pristine Chapel is a luxe ceremony and reception venue offering couples sweeping views and a charming atmosphere.
The Atrium,"Norcross, GA",$$,101-150 Guests,4.9,151,The Atrium is a contemporary wedding venue situated on a magnificent garden property with neo-classical design.
Kimball Hall,"Roswell, GA",$$,151-200 Guests,5,162,Kimball Hall is a newly refurnished venue with indoor and outdoor ceremony sites and a brand new outdoor courtyard.
Stanley House Mansion,"Marietta, GA",$$,101-150 Guests,5,48,"Stanley House Mansion is a stunning wedding venue dating back to the late 19th century, exuding history and classic Southern charm."
Brick and Ivey,"Marietta, GA",$$,151-200 Guests,5,100,Brick and Ivey is North Atlanta's newest wedding venue featuring exposed all white brick walls and two bridal suites.
Primrose Cottage,"Roswell, GA",$$,300+ Guests,4.9,272,Primrose Cottage is an enchanting three-story home situated on a stately front lawn in Historic Roswell.
Roswell Historic Hall,"Roswell, GA",$$,300+ Guests,4.3,49,Roswell Historic Hall is an event venue that offers a variety of celebrations including weddings and corporate events.
Naylor Hall,"Roswell, GA",,201-250 Guests,5,173,Naylor Hall is a grand venue that has been beautifully renovated while retaining its historical charm.
Country Club of Roswell,"Roswell, GA",$$,201-250 Guests,4.7,23,Country Club of Roswell offers a versatile space for both intimate and larger scaled receptions.
Vecoma At The Yellow River,"Snellville, GA",$$,251-300 Guests,4.9,199,Vecoma at the Yellow River is an all-inclusive wedding venue nestled on 70 acres of lush forest along the scenic Yellow River.
Olde Towne Special Events,"Atlanta, GA",$$,251-300 Guests,5,66,Olde Towne Special Events is a full-service events facility that hosts weddings and other milestone occasions.
Little Gardens,"Lawrenceville, GA",$$,251-300 Guests,4.9,215,Little Gardens is a serene wedding venue featuring a manor house and lavish green grounds.
Ivy Hall,"Roswell, GA",$$$,201-250 Guests,4.9,89,"Ivy Hall is a unique venue with a rich history, originally built in the 19th century."
Flint Hill,"Norcross, GA",$$,251-300 Guests,4.8,205,Flint Hill is a beautifully restored historic mansion featuring recently renovated farmhouse décor.
The 173 Carlyle House,"Norcross, GA",$$,300+ Guests,4.8,41,"173 Carlyle House is a beautiful turn-of-the-century mansion with elegant, spacious rooms and manicured grounds."
Roswell Mill Club,"Roswell, GA",$$,151-200 Guests,4.8,38,"Roswell Mill Club is a cherished piece of Southern history, rebuilt in 1882 after being destroyed in the Civil War."
